User,UniqueID,Date,Time,Duration,Temperature,TUnit,Pressure,PUnit,MaxDuration,MinTemp,MaxTemp,MinPressure,MaxPressure,TempSetPoint,Profile,ProfileValues
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.0,194,F,8.7,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.1,199,F,8.0,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.2,194,F,8.4,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.3,195,F,8.6,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.4,197,F,8.5,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.5,195,F,9.0,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.6,197,F,8.1,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.7,201,F,9.0,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.8,190,F,8.2,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,0.9,197,F,9.0,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,1.0,192,F,8.3,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,1.1,199,F,8.8,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,1.2,192,F,8.0,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,1.3,197,F,8.1,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,1.4,195,F,8.7,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,1.5,192,F,8.9,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
"Eleff, Tom",11,07/JUL/2023,12:17:03,1.6,201,F,8.2,Bars,4.9,190,201,8.0,9.0,199.0,Manual,0
